2018-05-29T20:32:22+07:00 ERR (3): error-exception	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/?lang=en_US	GET	http://zend2/gioi-thieu-p-2	Zend\ServiceManager\ServiceManager::get was unable to fetch or create an instance for FrontendModelGateway
#3 [internal function]: Frontend\Controller\MasterController->onDispatch(Object(Zend\Mvc\MvcEvent))
#4 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#5 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#6 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Controller\AbstractController.php(118): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#7 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\DispatchListener.php(93): Zend\Mvc\Controller\AbstractController->dispatch(Object(Zend\Http\PhpEnvironment\Request), Object(Zend\Http\PhpEnvironment\Response))
#8 [internal function]: Zend\Mvc\DispatchListener->onDispatch(Object(Zend\Mvc\MvcEvent))
#9 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#10 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#11 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Application.php(314): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#12 E:\Xampp\htdocs\zend2\public\index.php(24): Zend\Mvc\Application->run()
#13 {main}
2018-05-29T20:55:34+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:06:52+07:00 ERR (3): error-exception	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/gioi-thieu-p-2	GET	http://zend2/tin-tuc-nc-4	Statement could not be executed (23000 - 1052 - Column 'category_id' in where clause is ambiguous)
#0 E:\Xampp\htdocs\zend2\module\Application\src\Application\Model\Builder.php(138): Zend\Db\Adapter\Driver\Pdo\Statement->execute()
#1 E:\Xampp\htdocs\zend2\module\Application\src\Application\Model\Builder.php(78): Application\Model\Builder->getFetch('SELECT *  FROM ...')
#2 E:\Xampp\htdocs\zend2\module\Application\src\Application\Model\Builder.php(38): Application\Model\Builder->fetchWhere(Array)
#3 E:\Xampp\htdocs\zend2\module\Frontend\src\Frontend\Controller\PostController.php(34): Application\Model\Builder->fetchPage(Array)
#4 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Controller\AbstractActionController.php(82): Frontend\Controller\PostController->categoryAction()
#5 E:\Xampp\htdocs\zend2\module\Frontend\src\Frontend\Controller\MasterController.php(100): Zend\Mvc\Controller\AbstractActionController->onDispatch(Object(Zend\Mvc\MvcEvent))
#6 [internal function]: Frontend\Controller\MasterController->onDispatch(Object(Zend\Mvc\MvcEvent))
#7 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#8 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#9 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Controller\AbstractController.php(118): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#10 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\DispatchListener.php(93): Zend\Mvc\Controller\AbstractController->dispatch(Object(Zend\Http\PhpEnvironment\Request), Object(Zend\Http\PhpEnvironment\Response))
#11 [internal function]: Zend\Mvc\DispatchListener->onDispatch(Object(Zend\Mvc\MvcEvent))
#12 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#13 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#14 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Application.php(314): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#15 E:\Xampp\htdocs\zend2\public\index.php(24): Zend\Mvc\Application->run()
#16 {main}
2018-05-29T21:06:52+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:08:39+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:08:46+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:09:03+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:09:10+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36		GET	http://zend2/css/bootstrap.min.css.map
2018-05-29T21:09:35+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:09:35+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36		GET	http://zend2/css/bootstrap.min.css.map
2018-05-29T21:10:01+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
2018-05-29T21:10:01+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36		GET	http://zend2/css/bootstrap.min.css.map
2018-05-29T21:10:12+07:00 ERR (3): error-exception	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/tin-tuc-nc-4	GET	http://zend2/post-title-will-be-here-n-25	Zend\ServiceManager\ServiceManager::get was unable to fetch or create an instance for FrontendModelGateway
#0 E:\Xampp\htdocs\zend2\module\Frontend\src\Frontend\Controller\PostController.php(67): Zend\ServiceManager\ServiceManager->get('FrontendModelGa...')
#1 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Controller\AbstractActionController.php(82): Frontend\Controller\PostController->detailAction()
#2 E:\Xampp\htdocs\zend2\module\Frontend\src\Frontend\Controller\MasterController.php(100): Zend\Mvc\Controller\AbstractActionController->onDispatch(Object(Zend\Mvc\MvcEvent))
#3 [internal function]: Frontend\Controller\MasterController->onDispatch(Object(Zend\Mvc\MvcEvent))
#4 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#5 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#6 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Controller\AbstractController.php(118): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#7 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\DispatchListener.php(93): Zend\Mvc\Controller\AbstractController->dispatch(Object(Zend\Http\PhpEnvironment\Request), Object(Zend\Http\PhpEnvironment\Response))
#8 [internal function]: Zend\Mvc\DispatchListener->onDispatch(Object(Zend\Mvc\MvcEvent))
#9 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(444): call_user_func(Array, Object(Zend\Mvc\MvcEvent))
#10 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\EventManager\EventManager.php(205): Zend\EventManager\EventManager->triggerListeners('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#11 E:\Xampp\htdocs\zend2\vendor\zendframework\zendframework\library\Zend\Mvc\Application.php(314): Zend\EventManager\EventManager->trigger('dispatch', Object(Zend\Mvc\MvcEvent), Object(Closure))
#12 E:\Xampp\htdocs\zend2\public\index.php(24): Zend\Mvc\Application->run()
#13 {main}
2018-05-29T21:10:12+07:00 ERR (3): error-router-no-match	127.0.0.1	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36	http://zend2/css/bootstrap.min.css	GET	http://zend2/fonts/glyphicons-halflings-regular.woff2
